,data:material:density,data:material:E,data:geometry:Ixx,data:geometry:h,data:weight:linear_weight,success
0,2196.415546426461,70602202235.59213,1.5296513090877512e-06,0.039404468050337114,254.71248925848337,1.0
1,2591.944720766582,72228078735.43988,1.4168112645621945e-06,0.03841210364567077,293.0111109661031,0.0
2,2417.273745887895,75912214419.44302,1.3552070008566723e-06,0.03784710465550703,269.2456890157132,0.0
3,2478.5179727341606,63228620673.332146,1.565744630538597e-06,0.03971349202844116,289.68126684368474,0.0
4,2936.621897762585,62724645052.43588,1.4841766176595787e-06,0.03901105003984305,337.15215128844744,0.0
5,2231.5175759104895,74355306558.64897,1.3668451107998235e-06,0.037954612547591284,249.26146101621936,1.0
6,2819.665014202603,72974530546.19487,1.3056512781842584e-06,0.03737870920241591,310.1787758413111,1.0
7,2136.683940065674,64895209388.257675,1.5636160317042871e-06,0.0396940333830995,249.60643553047063,1.0
8,2796.3455442560917,64381536735.2673,1.4689430352507243e-06,0.038876148679437415,319.9369001399043,1.0
9,2022.8515090957862,64406514783.64971,1.597665292074038e-06,0.039980020076897514,238.01113413376072,1.0
